pr_number,ACT_number_of_comments,ACT_number_of_review_comments,CODE_number_of_commits,CODE_lines_of_code_changed,CODE_number_of_files_changed,ACT_number_of_reviewers,ACT_number_of_approvals,ACT_time_to_first_response,CONT_number_of_assignees,ACT_number_of_changes_requested,CONT_number_of_linked_issues,ACT_time_since_last_commit,CONT_number_of_reviews_requested,CODE_number_of_revisions,CODE_number_of_milestones,CONT_repo,CONT_PR_text_wordiness,bug,ui,dependencies,submodules,type: code-quality,tests,openoffice/libreoffice,status: ready-for-review,jabcon,type: documentation,internationalization,ai,skip-verify-files,javascript,backport,docs,windows,platform-ios,tool,engine,a: desktop,framework,f: material design,f: cupertino,warning: land on red to fix tree breakage,a: tests,f: integration_test,a: text input,d: docs/,f: scrolling,a: accessibility,d: api docs,d: examples,f: routes,autosubmit,will affect goldens,c: tech-debt,c: flake,platform-android,cp: beta,cp: review,team,refactor,status: waiting review,scope: curriculum,scope: i18n,full stack cert,platform: learn,crowdin-sync,new english course,scope: tools/scripts,new javascript course,status: waiting update,platform: api,new python course,status: merge conflict,lgtm,🤖:bug,community,🤖:docs,🤖:nit,🤖:release,langchain,partner,documentation,test,author ready,needs-ci,dont-land-on-v18.x,dont-land-on-v20.x,strip-types,module,semver-minor,lib / src,notable-change,baking-for-lts,buffer,benchmark,doc,meta,commit-queue-squash,commit-queue-failed,build,lts-watch-v18.x,lts-watch-v20.x,c++,fs,permission,review wanted,esm,assert,tools,path,backport-requested-v22.x,release,test_runner,web-standards,experimental,backported-to-v22.x,sqlite,v23.x,stream,semver-major,v8 engine,fast-track,util,dont-land-on-v22.x,cares,vm,revert,crypto,webcrypto,http2,http,embedding,icu,v22.x,backport-open-v22.x,url,net,errors,github_actions,cli,process,deprecations,os,backport-open-v20.x,needs-benchmark-ci,backported-to-v18.x,v20.x,backport-requested-v20.x,coverage,backport-blocked-v20.x,python,v18.x,open source,topic: not user facing,merged,beta-accepted,merged-by-bors,rollup,beta-nominated,disposition-merge,finished-final-comment-period,to-announce,perf-regression,relnotes,perf-regression-triaged,llvm-main,c++ interop,🍒 release cherry pick,swift 6.1,run-slow,CONT_label_count,PR_Lifetime(hours),PR Lifetime,add,ani,branch,chang,checklist,close,contribut,descript,document,fix,follow,issu,like,make,new,pleas,pr,pull,read,request,test.1,thi,use,ORG_PRs Opened in Last 2 Weeks,ORG_PRs Closed in Last 2 Weeks,ORG_Open PRs at Open Date,ORG_Author PRs Opened,CONT_day_of_week,CONT_weekday
7181,0,6,22,6500,50,2,1,,1,0,0,547175.269866,1,22,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.3161111111111,4,0.0,0.0,0.0,0.6277556088024352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2170000568286337,0.2746524568719739,0.0,0.2758656105900167,0.0,0.4737060071436065,0.240239418714268,0.0,0.2355356012248712,0.0,0.0,0.2640240232042715,35,38,3,13,1,1
7090,20,6,2,121,3,2,1,3017.0,1,0,0,1325635.87107,0,2,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.1272222222222,4,0.0,0.0,0.0,0.639129066233441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2209315882626173,0.2796285144057548,0.0,0.0,0.0,0.2411442237787701,0.244591992811071,0.0,0.2398029531950556,0.0,0.0,0.5376150369589109,35,36,8,11,1,1
6934,10,0,1,4,1,1,1,4563.0,0,0,0,1845397.553546,1,1,0,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.8847222222222,4,0.0,0.2427977919576272,0.0,0.7607548850407754,0.0,0.0,0.0,0.0,0.0,0.2036257723870722,0.0,0.1972310374113242,0.2496312203236277,0.0,0.0,0.0,0.2152753519569157,0.2183532597759961,0.0,0.2140779668715343,0.0,0.1489457906939359,0.2399710523542072,8,33,1,0,0,1
7017,3,29,2,3527,56,3,1,593625.0,1,0,0,1956411.894914,0,2,0,1,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.74555555555554,4,0.0929031641554206,0.0,0.1028650718838225,0.4634863097976898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801080501353556,0.1013910922718039,0.1008161894080431,0.0,0.1701530923396114,0.4371849611961934,0.0886871260778022,0.0,0.0869506581119632,0.2282943367051021,0.604963449209893,0.2924024536706283,34,26,4,6,4,1
7040,0,0,1,2,1,1,1,,0,0,0,1956936.481347,0,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.4327777777778,4,0.0,0.0,0.0,0.7221785583780757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496398056999013,0.3159639078927323,0.0,0.0,0.0,0.2724789046382448,0.2763746825036475,0.0,0.2709633471276935,0.0,0.0,0.3037368137874306,38,25,6,1,1,1
7055,0,19,3,695,12,2,1,,0,0,0,2355524.39087,0,3,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.15722222222223,4,0.0,0.0,0.0,0.7706330420816466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2663893585033174,0.0,0.0,0.0,0.2829114741846635,0.2907608440439406,0.2949180086576785,0.0,0.2891436003841053,0.0,0.0,0.0,37,28,7,5,2,1
6978,0,0,1,4,1,1,1,,0,0,0,3174403.880833,0,1,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0425,4,0.0,0.0,0.0,0.4734270894359306,0.0,0.0,0.0,0.0,0.0,0.3379168372572036,0.0,0.1636523893554625,0.4142628482806529,0.0,0.0,0.0,0.1786246535002235,0.3623570930306741,0.0,0.3552622472275717,0.0,0.1235877215443866,0.3982318057984923,22,36,3,0,6,0
6956,10,0,2,87,1,1,2,654.0,0,0,0,3581869.437744,0,2,1,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.16805555555555,4,0.0,0.0,0.0,0.5325757867925165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1840986753109231,0.2330098628543258,0.0,0.2340390791398154,0.0,0.2009415335564494,0.2038145030426875,0.0,0.1998238747389071,0.0,0.0,0.6719787123450154,15,30,6,0,2,1
11577,30,30,105,947,18,4,0,138.0,0,0,0,102951.031261,1,105,1,2,548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,188.78416666666664,4,0.080022688552594,0.1698862629615932,0.0,0.2661511116046494,0.0,0.0,0.0,0.0818264783432142,0.6785437698909269,0.1424774963338416,0.1813875754080565,0.1380030832063564,0.0,0.2605158586169138,0.2631587201064014,0.0732811849754367,0.3012574764937292,0.1527823585615629,0.1638169724103611,0.149790924707288,0.1310951158700478,0.1563266508366873,0.0839541928588293,42,56,3,5,6,0
11542,4,30,331,7008,138,5,0,2744541.0,0,1,0,368504.847351,0,331,1,2,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951.2294444444444,4,0.0,0.0598818346375785,0.0,0.3752538098344161,0.0,0.5667507358782005,0.0,0.1153694138585295,0.2989680059663914,0.0502207401958575,0.0639358392288146,0.0972871810113013,0.0615671803901955,0.0,0.1236782514460741,0.0,0.0530939055231617,0.1077060354549215,0.0,0.1055971828111802,0.0924173139543263,0.1102046332841554,0.5918466868672413,21,28,3,1,6,0
